Year,Month,MobileWeb_or_Web,Type_of_Customers?,Where_Are_They_comming_from?,Which_Place_in_India?,How_many_Landed_on_our_Page?,How_many_Landed_on_the_our_Page_and_clicked_on_a_button?,How_many_Landed_on_the_our_Page_and_clicked_on_a_button_and_started_filling_the_Form?,How_many_Landed_on_the_our_Page_and_clicked_on_a_button_and_started_filling_the_Form_and_Completed_and_submited_the_form?
2019,Jan,Desktop_Website,Existing_Customer,Came_From_Google,Bangalore,NA,NA,56892,17178
2019,Jan,Desktop_Website,Existing_Customer,Came_From_Google,Chennai,NA,NA,41460,11916
2019,Jan,Desktop_Website,Existing_Customer,Came_From_Google,Dehradun,NA,NA,55561,19461
2019,Jan,Desktop_Website,Existing_Customer,Came_From_Google,Indore,NA,NA,320923,110667
2019,Jan,Desktop_Website,Existing_Customer,Came_From_Google,Pune,NA,NA,220937,46033
2019,Jan,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Bangalore,NA,NA,90241,24229
2019,Jan,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Chennai,NA,NA,77630,18502
2019,Jan,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Dehradun,NA,NA,91479,24363
2019,Jan,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Indore,NA,NA,436641,165036
2019,Jan,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Pune,NA,NA,531346,101317
2019,Jan,Desktop_Website,Existing_Customer,Unidentified_Sources,Bangalore,NA,NA,32119,6900
2019,Jan,Desktop_Website,Existing_Customer,Unidentified_Sources,Chennai,NA,NA,27891,5606
2019,Jan,Desktop_Website,Existing_Customer,Unidentified_Sources,Dehradun,NA,NA,34391,8459
2019,Jan,Desktop_Website,Existing_Customer,Unidentified_Sources,Indore,NA,NA,142422,39296
2019,Jan,Desktop_Website,Existing_Customer,Unidentified_Sources,Pune,NA,NA,120090,20223
2019,Jan,Desktop_Website,New_Customer,Came_From_Google,Bangalore,112869,91801,48979,33382
2019,Jan,Desktop_Website,New_Customer,Came_From_Google,Chennai,110397,87429,48899,29031
2019,Jan,Desktop_Website,New_Customer,Came_From_Google,Dehradun,156487,123324,59084,39804
2019,Jan,Desktop_Website,New_Customer,Came_From_Google,Indore,1176804,960145,604293,373155
2019,Jan,Desktop_Website,New_Customer,Came_From_Google,Pune,383260,305902,172827,122285
2019,Jan,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Bangalore,268286,149476,58622,44999
2019,Jan,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Chennai,292128,131890,50720,32140
2019,Jan,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Dehradun,401292,171322,51069,36016
2019,Jan,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Indore,1670668,969732,477858,339970
2019,Jan,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Pune,1748075,854377,314289,225823
2019,Jan,Desktop_Website,New_Customer,Unidentified_Sources,Bangalore,58172,44096,18169,8769
2019,Jan,Desktop_Website,New_Customer,Unidentified_Sources,Chennai,80384,58097,22564,8832
2019,Jan,Desktop_Website,New_Customer,Unidentified_Sources,Dehradun,101453,79201,17203,10064
2019,Jan,Desktop_Website,New_Customer,Unidentified_Sources,Indore,494447,374638,170498,88331
2019,Jan,Desktop_Website,New_Customer,Unidentified_Sources,Pune,235955,162890,54175,30731
2019,Jan,Mobile_website,Existing_Customer,Came_From_Google,Bangalore,NA,NA,57469,13257
2019,Jan,Mobile_website,Existing_Customer,Came_From_Google,Chennai,NA,NA,22092,5405
2019,Jan,Mobile_website,Existing_Customer,Came_From_Google,Dehradun,NA,NA,40947,13345
2019,Jan,Mobile_website,Existing_Customer,Came_From_Google,Indore,NA,NA,201776,59088
2019,Jan,Mobile_website,Existing_Customer,Came_From_Google,Pune,NA,NA,193520,40931
2019,Jan,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Bangalore,NA,NA,129706,22628
2019,Jan,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Chennai,NA,NA,60729,10055
2019,Jan,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Dehradun,NA,NA,98579,14367
2019,Jan,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Indore,NA,NA,367836,92895
2019,Jan,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Pune,NA,NA,590327,83552
2019,Jan,Mobile_website,Existing_Customer,Unidentified_Sources,Bangalore,NA,NA,15108,3919
2019,Jan,Mobile_website,Existing_Customer,Unidentified_Sources,Chennai,NA,NA,10151,2272
2019,Jan,Mobile_website,Existing_Customer,Unidentified_Sources,Dehradun,NA,NA,13502,4463
2019,Jan,Mobile_website,Existing_Customer,Unidentified_Sources,Indore,NA,NA,64611,17261
2019,Jan,Mobile_website,Existing_Customer,Unidentified_Sources,Pune,NA,NA,50790,10397
2019,Jan,Mobile_website,New_Customer,Came_From_Google,Bangalore,136378,100335,49556,33445
2019,Jan,Mobile_website,New_Customer,Came_From_Google,Chennai,100254,70144,35893,21402
2019,Jan,Mobile_website,New_Customer,Came_From_Google,Dehradun,190340,127779,61203,40949
2019,Jan,Mobile_website,New_Customer,Came_From_Google,Indore,1276745,922618,538087,317619
2019,Jan,Mobile_website,New_Customer,Came_From_Google,Pune,480675,347596,186713,135275
2019,Jan,Mobile_website,New_Customer,Landed_on_the_page_Directly,Bangalore,416106,195181,64840,30993
2019,Jan,Mobile_website,New_Customer,Landed_on_the_page_Directly,Chennai,286353,133032,51340,25203
2019,Jan,Mobile_website,New_Customer,Landed_on_the_page_Directly,Dehradun,427530,187061,48184,19984
2019,Jan,Mobile_website,New_Customer,Landed_on_the_page_Directly,Indore,2160270,1209633,529460,249974
2019,Jan,Mobile_website,New_Customer,Landed_on_the_page_Directly,Pune,1646707,807106,348833,182292
2019,Jan,Mobile_website,New_Customer,Unidentified_Sources,Bangalore,52157,35193,10240,4390
2019,Jan,Mobile_website,New_Customer,Unidentified_Sources,Chennai,50889,34069,10913,5024
2019,Jan,Mobile_website,New_Customer,Unidentified_Sources,Dehradun,58247,41982,10229,6334
2019,Jan,Mobile_website,New_Customer,Unidentified_Sources,Indore,507337,365834,176165,57549
2019,Jan,Mobile_website,New_Customer,Unidentified_Sources,Pune,221607,127471,39922,22624
2019,Feb,Desktop_Website,Existing_Customer,Came_From_Google,Bangalore,NA,NA,47265,14196
2019,Feb,Desktop_Website,Existing_Customer,Came_From_Google,Chennai,NA,NA,33702,9671
2019,Feb,Desktop_Website,Existing_Customer,Came_From_Google,Dehradun,NA,NA,43417,15551
2019,Feb,Desktop_Website,Existing_Customer,Came_From_Google,Indore,NA,NA,245423,80299
2019,Feb,Desktop_Website,Existing_Customer,Came_From_Google,Pune,NA,NA,228051,36538
2019,Feb,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Bangalore,NA,NA,78378,20261
2019,Feb,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Chennai,NA,NA,64729,15062
2019,Feb,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Dehradun,NA,NA,75333,19025
2019,Feb,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Indore,NA,NA,363559,124359
2019,Feb,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Pune,NA,NA,441298,82153
2019,Feb,Desktop_Website,Existing_Customer,Unidentified_Sources,Bangalore,NA,NA,26704,5672
2019,Feb,Desktop_Website,Existing_Customer,Unidentified_Sources,Chennai,NA,NA,22736,4181
2019,Feb,Desktop_Website,Existing_Customer,Unidentified_Sources,Dehradun,NA,NA,26907,6179
2019,Feb,Desktop_Website,Existing_Customer,Unidentified_Sources,Indore,NA,NA,115601,31589
2019,Feb,Desktop_Website,Existing_Customer,Unidentified_Sources,Pune,NA,NA,103558,16829
2019,Feb,Desktop_Website,New_Customer,Came_From_Google,Bangalore,98574,80672,39272,26296
2019,Feb,Desktop_Website,New_Customer,Came_From_Google,Chennai,95163,74427,39687,23332
2019,Feb,Desktop_Website,New_Customer,Came_From_Google,Dehradun,131647,103960,46826,31260
2019,Feb,Desktop_Website,New_Customer,Came_From_Google,Indore,942288,760422,462969,278204
2019,Feb,Desktop_Website,New_Customer,Came_From_Google,Pune,321335,254082,134654,92966
2019,Feb,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Bangalore,364294,171068,36362,22686
2019,Feb,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Chennai,320485,143024,34577,18720
2019,Feb,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Dehradun,475516,178363,39894,26130
2019,Feb,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Indore,1737247,930777,344024,223838
2019,Feb,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Pune,1711902,844669,231719,163043
2019,Feb,Desktop_Website,New_Customer,Unidentified_Sources,Bangalore,53580,36250,12210,4973
2019,Feb,Desktop_Website,New_Customer,Unidentified_Sources,Chennai,65572,46544,15806,6415
2019,Feb,Desktop_Website,New_Customer,Unidentified_Sources,Dehradun,86951,65812,13467,7839
2019,Feb,Desktop_Website,New_Customer,Unidentified_Sources,Indore,419241,311429,137558,73850
2019,Feb,Desktop_Website,New_Customer,Unidentified_Sources,Pune,193398,133574,43168,24065
2019,Feb,Mobile_website,Existing_Customer,Came_From_Google,Bangalore,NA,NA,50083,11314
2019,Feb,Mobile_website,Existing_Customer,Came_From_Google,Chennai,NA,NA,18166,4586
2019,Feb,Mobile_website,Existing_Customer,Came_From_Google,Dehradun,NA,NA,34897,11595
2019,Feb,Mobile_website,Existing_Customer,Came_From_Google,Indore,NA,NA,154227,42917
2019,Feb,Mobile_website,Existing_Customer,Came_From_Google,Pune,NA,NA,213067,35556
2019,Feb,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Bangalore,NA,NA,114762,19287
2019,Feb,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Chennai,NA,NA,51425,8256
2019,Feb,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Dehradun,NA,NA,88292,12309
2019,Feb,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Indore,NA,NA,303978,71847
2019,Feb,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Pune,NA,NA,525836,72032
2019,Feb,Mobile_website,Existing_Customer,Unidentified_Sources,Bangalore,NA,NA,13538,3143
2019,Feb,Mobile_website,Existing_Customer,Unidentified_Sources,Chennai,NA,NA,7964,1697
2019,Feb,Mobile_website,Existing_Customer,Unidentified_Sources,Dehradun,NA,NA,11562,3704
2019,Feb,Mobile_website,Existing_Customer,Unidentified_Sources,Indore,NA,NA,51199,13951
2019,Feb,Mobile_website,Existing_Customer,Unidentified_Sources,Pune,NA,NA,46726,9097
2019,Feb,Mobile_website,New_Customer,Came_From_Google,Bangalore,121411,89241,40397,26420
2019,Feb,Mobile_website,New_Customer,Came_From_Google,Chennai,89326,59692,29073,17440
2019,Feb,Mobile_website,New_Customer,Came_From_Google,Dehradun,163799,109105,50685,33708
2019,Feb,Mobile_website,New_Customer,Came_From_Google,Indore,1052420,733233,404716,232852
2019,Feb,Mobile_website,New_Customer,Came_From_Google,Pune,426286,304066,156062,108686
2019,Feb,Mobile_website,New_Customer,Landed_on_the_page_Directly,Bangalore,570318,245665,56844,25016
2019,Feb,Mobile_website,New_Customer,Landed_on_the_page_Directly,Chennai,292515,128356,40287,19591
2019,Feb,Mobile_website,New_Customer,Landed_on_the_page_Directly,Dehradun,466905,193933,41464,16147
2019,Feb,Mobile_website,New_Customer,Landed_on_the_page_Directly,Indore,2505768,1215226,397087,182202
2019,Feb,Mobile_website,New_Customer,Landed_on_the_page_Directly,Pune,1376097,719141,304051,149451
2019,Feb,Mobile_website,New_Customer,Unidentified_Sources,Bangalore,63129,37419,9099,3503
2019,Feb,Mobile_website,New_Customer,Unidentified_Sources,Chennai,43619,28122,8379,4058
2019,Feb,Mobile_website,New_Customer,Unidentified_Sources,Dehradun,54813,37594,8090,4713
2019,Feb,Mobile_website,New_Customer,Unidentified_Sources,Indore,560505,341113,134883,48039
2019,Feb,Mobile_website,New_Customer,Unidentified_Sources,Pune,187990,111024,34132,19047
2019,Mar,Desktop_Website,Existing_Customer,Came_From_Google,Bangalore,NA,NA,53760,16925
2019,Mar,Desktop_Website,Existing_Customer,Came_From_Google,Chennai,NA,NA,37319,10576
2019,Mar,Desktop_Website,Existing_Customer,Came_From_Google,Dehradun,NA,NA,48180,17223
2019,Mar,Desktop_Website,Existing_Customer,Came_From_Google,Indore,NA,NA,278549,91900
2019,Mar,Desktop_Website,Existing_Customer,Came_From_Google,Pune,NA,NA,250764,36252
2019,Mar,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Bangalore,NA,NA,96156,27068
2019,Mar,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Chennai,NA,NA,70422,17276
2019,Mar,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Dehradun,NA,NA,86553,22636
2019,Mar,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Indore,NA,NA,424675,157269
2019,Mar,Desktop_Website,Existing_Customer,Landed_on_the_page_Directly,Pune,NA,NA,499351,88390
2019,Mar,Desktop_Website,Existing_Customer,Unidentified_Sources,Bangalore,NA,NA,31838,6289
2019,Mar,Desktop_Website,Existing_Customer,Unidentified_Sources,Chennai,NA,NA,26782,4597
2019,Mar,Desktop_Website,Existing_Customer,Unidentified_Sources,Dehradun,NA,NA,31999,7250
2019,Mar,Desktop_Website,Existing_Customer,Unidentified_Sources,Indore,NA,NA,139677,36289
2019,Mar,Desktop_Website,Existing_Customer,Unidentified_Sources,Pune,NA,NA,125086,18540
2019,Mar,Desktop_Website,New_Customer,Came_From_Google,Bangalore,111819,91262,46090,31759
2019,Mar,Desktop_Website,New_Customer,Came_From_Google,Chennai,105230,82343,44461,26624
2019,Mar,Desktop_Website,New_Customer,Came_From_Google,Dehradun,146933,115121,53512,35853
2019,Mar,Desktop_Website,New_Customer,Came_From_Google,Indore,1058797,856308,531513,318744
2019,Mar,Desktop_Website,New_Customer,Came_From_Google,Pune,316436,248729,129296,89311
2019,Mar,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Bangalore,277271,143117,48863,33051
2019,Mar,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Chennai,282984,131430,47886,28514
2019,Mar,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Dehradun,562224,203602,73034,55766
2019,Mar,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Indore,1681867,969489,506448,348025
2019,Mar,Desktop_Website,New_Customer,Landed_on_the_page_Directly,Pune,1758279,869595,317158,233956
2019,Mar,Desktop_Website,New_Customer,Unidentified_Sources,Bangalore,69199,45102,17610,5919
2019,Mar,Desktop_Website,New_Customer,Unidentified_Sources,Chennai,76514,55544,23400,7965
2019,Mar,Desktop_Website,New_Customer,Unidentified_Sources,Dehradun,94141,72455,14656,8681
2019,Mar,Desktop_Website,New_Customer,Unidentified_Sources,Indore,476617,347670,163208,85290
2019,Mar,Desktop_Website,New_Customer,Unidentified_Sources,Pune,218631,150601,49176,27101
2019,Mar,Mobile_website,Existing_Customer,Came_From_Google,Bangalore,NA,NA,54383,14456
2019,Mar,Mobile_website,Existing_Customer,Came_From_Google,Chennai,NA,NA,21111,5456
2019,Mar,Mobile_website,Existing_Customer,Came_From_Google,Dehradun,NA,NA,40106,12481
2019,Mar,Mobile_website,Existing_Customer,Came_From_Google,Indore,NA,NA,188515,54548
2019,Mar,Mobile_website,Existing_Customer,Came_From_Google,Pune,NA,NA,237173,35583
2019,Mar,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Bangalore,NA,NA,135537,24616
2019,Mar,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Chennai,NA,NA,55014,9253
2019,Mar,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Dehradun,NA,NA,106898,13716
2019,Mar,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Indore,NA,NA,365992,99816
2019,Mar,Mobile_website,Existing_Customer,Landed_on_the_page_Directly,Pune,NA,NA,651185,79489
2019,Mar,Mobile_website,Existing_Customer,Unidentified_Sources,Bangalore,NA,NA,17047,3915
2019,Mar,Mobile_website,Existing_Customer,Unidentified_Sources,Chennai,NA,NA,9296,1820
2019,Mar,Mobile_website,Existing_Customer,Unidentified_Sources,Dehradun,NA,NA,14946,3818
2019,Mar,Mobile_website,Existing_Customer,Unidentified_Sources,Indore,NA,NA,67184,17707
2019,Mar,Mobile_website,Existing_Customer,Unidentified_Sources,Pune,NA,NA,70411,10896
2019,Mar,Mobile_website,New_Customer,Came_From_Google,Bangalore,145053,105417,49411,34286
2019,Mar,Mobile_website,New_Customer,Came_From_Google,Chennai,97654,66825,32999,20677
2019,Mar,Mobile_website,New_Customer,Came_From_Google,Dehradun,180693,125075,58176,37912
2019,Mar,Mobile_website,New_Customer,Came_From_Google,Indore,1244445,884492,497742,287941
2019,Mar,Mobile_website,New_Customer,Came_From_Google,Pune,438963,308900,150377,103420
2019,Mar,Mobile_website,New_Customer,Landed_on_the_page_Directly,Bangalore,425916,218468,65705,30064
2019,Mar,Mobile_website,New_Customer,Landed_on_the_page_Directly,Chennai,236227,112313,40709,20354
2019,Mar,Mobile_website,New_Customer,Landed_on_the_page_Directly,Dehradun,422065,194588,45807,18279
2019,Mar,Mobile_website,New_Customer,Landed_on_the_page_Directly,Indore,2094850,1166286,473003,220526
2019,Mar,Mobile_website,New_Customer,Landed_on_the_page_Directly,Pune,1514812,805796,342565,166434
